task_idx,as
13,0.909924507141113
4,0.862776935100555
20,0.900105476379395
5,0.889637291431427
22,0.920068144798279
27,0.870080351829529
31,0.913495063781738
6,0.922583758831024
16,0.914955794811249
2,0.921123087406158
23,0.899780869483948
26,0.921691119670868
7,0.830073833465576
28,0.881603479385376
25,0.91787713766098
12,0.9276961684226991
1,0.901241600513458
29,0.92453134059906
14,0.906191647052765
10,0.932240545749664
3,0.862776935100555
15,0.932078242301941
17,0.910492599010468
19,0.935973405838013
30,0.922502636909485
11,0.860017836093903
18,0.895236551761627
8,0.93264627456665
9,0.924206793308258
24,0.845897912979126
21,0.88728392124176
0,0.924937129020691
